Export period 25.02.2020 - 24.02.2021
819200102;"Østervej (Tannisbugtvej / Tversted / Hjørring kom)";571038;6383320
819200501;"Tuen (Tuenvej / Hjørring Kommune)";577018;6383656
819300101;"Smedegården (Nørrebro / Bindslev / Hjørring kom)";571918;6378464
819300102;"Smedegården (Nørrebro / Bindslev / Hjørring kom)";571878;6378420
819300201;"Bindslev Skole (Skolegade / Hjøring Kommune)";571771;6378471
819300202;"Bindslev Skole (Skolegade / Hjøring Kommune)";571760;6378461
821000201;"Harken (Kornmarken / Hjørring Kommune)";559257;6361467
821000202;"Harken (Kornmarken / Hjørring Kommune)";559228;6361321
821000301;"Knudsmindevej (Sønderlev / Hjørring kommune)";552349;6370099
821000302;"Knudsmindevej (Sønderlev / Hjørring kommune)";552320;6370105
821003001;"Lille Østergade (Frederikshavnsvej / Hjørring)";560051;6368569
821003002;"Lille Østergade (Frederikshavnsvej / Hjørring)";560153;6368580
821081601;"Skovgaarden (Aalborgvej / Hjørring)";559778;6366850
821085601;"Tøtmosen (Tørholmsvej / Hjørring)";559972;6370400
821100101;"Tårs Kirke (Tårs / Hjørring Kommune)";567146;6360765
821100102;"Tårs Kirke (Tårs / Hjørring Kommune)";567139;6360747
821180401;"Højene Hallen / Vellingshøjcentret (Hjørring)";559733;6371538
821200102;"Lønstrup Turistinfo (Strandvejen / Hjørring Komm.)";547818;6370224
821200201;"Sæsing (Sæby Landevej / Hjørring Kommune)";571498;6358712
821200301;"Søndervænget (Skagen Landevej / Bjergby)";561340;6374965
821300101;"Poulstrup (Hovedgaden / Hjørring Kommune)";561093;6357056
821300102;"Poulstrup (Hovedgaden / Hjørring Kommune)";561041;6357126
821300401;"Vennebjerg (Lønstrupvej / Hjørring Kommune)";551246;6367939
823000901;"Snebærvej (Ølsvej / Hobro)";547123;6277215
823001101;"Morbærvej (Ølsvej / Hobro)";547760;6278011
823001102;"Morbærvej (Ølsvej / Hobro)";547741;6278009
823001501;"Gattenborg (Skivevej / Hobro)";547827;6277405
823002201;"Rosendalskolen (Døstrupvej / Hobro)";547334;6279210
823002202;"Rosendalskolen (Døstrupvej / Hobro)";547312;6279200
823011001;"Sallingvej (Sønder Ringvej / Hobro)";549437;6276275
823011301;"Korsgade (Hobro)";548547;6277269
823100201;"Døstrup (Svinget / Mariagerfjord Kommune)";545714;6283337
823112001;"Hostrupvænget (Hostrupvej / Hobro)";548633;6278544
827000101;"Løgstør Busterminal (Vesthimm. Komm.)";515654;6313796
827000102;"Løgstør Busterminal (Vesthimm. Komm.)";515661;6313805
827100101;"Ranum (Kirkevej / Vesthimmerlands Kommune)";513953;6305910
827101101;"Løgstør Skole (Sønderport / Løgstør)";515327;6312777
827400101;"Aggersund Brogade (Ullerupvej / Vesthimm. Komm.)";517629;6317717
829000102;"Løkken Busterminal (Løkken)";542819;6358631
829150201;"Bakholm (Løkkensvej / Hjørring Kommune)";551551;6365764
829300101;"Vrå St. (Bus)";556739;6357267
829300102;"Vrå St. (Bus)";556722;6357273
833000601;"Lille Binderup (Kimbrervej / Rebild Kommune)";535953;6293639
