UIC,Parent_UIC,Stationsnavn,Forkortelse,Region nr,Region navn,Kommune nr,Kommune navn,FjernRegional,Stog,KystKastrup,Arriva,Metro,Privatbane,Letbane,Border,Øst,Vest,H-omr,Lukket,Planlagt station,LTM_ID,LTM_ID_1,LTM_ID_S,LTM_ID_M,LTM_ID_LB,LTM_ID_PB,OTM_ID,OTM_ID_1,OTM_ID_S,OTM_ID_LB,X-koordinat,Y-koordinat
8602604,,Øster Toreby,0,1085,Sjælland,376,Guldborgsund,0,0,0,0,0,1,0,0,0,1,0,0,0,8602604,0,0,0,0,0,0,0,0,0,0,0
8602601,,Avnede,0,1085,Sjælland,360,Lolland,0,0,0,0,0,1,0,0,0,1,0,0,0,8602601,0,0,0,0,0,0,0,0,0,0,0
8602523,,Vedde,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602523,0,0,0,0,0,0,0,0,0,0,0
8602519,,St. Merløse,0,1085,Sjælland,316,Holbæk,0,0,0,0,0,1,0,0,0,1,0,0,0,8602519,0,0,0,0,0,0,0,0,0,0,0
8602517,,Stenlille,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602517,0,0,0,0,0,0,0,0,0,0,0
8602515,,Skellebjerg,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602515,0,0,0,0,0,0,0,0,0,0,0
8602513,,Ruds Vedby,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602513,0,0,0,1608602513,0,0,0,0,0,0,0
8602509,,Nyrup,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602509,0,0,0,0,0,0,0,0,0,0,0
8602506,,Bagmarken,0,1085,Sjælland,316,Holbæk,0,0,0,0,0,1,0,0,0,1,0,0,0,8602506,0,0,0,0,0,0,0,0,0,0,0
8602505,,Kr. Eskilstrup,0,1085,Sjælland,316,Holbæk,0,0,0,0,0,1,0,0,0,1,0,0,0,8602505,0,0,0,0,0,0,0,0,0,0,0
8602503,,Høng,0,1085,Sjælland,326,Kalundborg,0,0,0,0,0,1,0,0,0,1,0,0,0,8602503,0,0,0,0,0,0,0,0,0,0,0
8602501,,Dianalund,0,1085,Sjælland,340,Sorø,0,0,0,0,0,1,0,0,0,1,0,0,0,8602501,0,0,0,0,0,0,0,0,0,0,0
8601843,,Vidstrup,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601843,0,0,0,0,0,0,0,0,0,0,0
8601842,,Vellingshøj,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601842,0,0,0,0,0,0,0,0,0,0,0
8601839,,Tornby,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601839,0,0,0,0,0,0,0,0,0,0,0
8601836,,Teglgårdsvej,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601836,0,0,0,0,0,0,0,0,0,0,0
8601834,,Sønderby,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601834,0,0,0,0,0,0,0,0,0,0,0
8601824,,Lilleheden,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601824,0,0,0,0,0,0,0,0,0,0,0
8601819,,Kvægtorvet,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601819,0,0,0,0,0,0,0,0,0,0,0
8601813,,Horne,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601813,0,0,0,0,0,0,0,0,0,0,0
8601803,,Hirtshals,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601803,0,0,0,0,0,0,0,0,0,0,0
8601802,,Herregårdsparken,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601802,0,0,0,0,0,0,0,0,0,0,0
8601801,,Emmersbæk,0,1081,Nordjylland,860,Hjørring,0,0,0,0,0,1,0,0,0,1,0,0,0,8601801,0,0,0,0,0,0,0,0,0,0,0
8601741,,Østerbjerg,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601741,0,0,0,0,0,0,0,0,0,0,0
8601739,,Ølsted,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601739,0,0,0,0,0,0,0,0,0,0,0
8601737,,Vibehus,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601737,0,0,0,0,0,0,0,0,0,0,0
8601733,,Skævinge,0,1084,Hovedstaden,219,Hillerød,0,0,0,0,0,1,0,0,1,0,1,0,0,8601733,0,0,0,0,0,0,0,0,0,0,0
8601729,,Melby,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601729,0,0,0,0,0,0,0,0,0,0,0
8601725,,Lille Kregme,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601725,0,0,0,0,0,0,0,0,0,0,0
8601723,,Kregme,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601723,0,0,0,0,0,0,0,0,0,0,0
8601722,,Hundested Havn,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601722,0,0,0,0,0,0,0,0,0,0,0
8601721,,Hundested,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601721,0,0,0,0,0,0,0,0,0,0,0
8601715,,Hanehoved,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601715,0,0,0,0,0,0,0,0,0,0,0
8601713,,Gørløse,0,1084,Hovedstaden,219,Hillerød,0,0,0,0,0,1,0,0,1,0,1,0,0,8601713,0,0,0,0,0,0,0,0,0,0,0
8601711,,Grimstrup,0,1084,Hovedstaden,260,Halsnæs,0,0,0,0,0,1,0,0,1,0,1,0,0,8601711,0,0,0,0,0,0,0,0,0,0,0
